feature nr: 9, importance: 0.00256
feature nr: 17, importance: 0.02841
feature nr: 31, importance: 0.01388
feature nr: 40, importance: 0.01516
feature nr: 74, importance: 0.00257
feature nr: 153, importance: 0.00550
feature nr: 209, importance: 0.00083
feature nr: 667, importance: 0.00161
feature nr: 1220, importance: 0.16789
feature nr: 4311, importance: 0.01558
feature nr: 5994, importance: 0.01654
feature nr: 6533, importance: 0.01439
feature nr: 6850, importance: 0.04230
feature nr: 8663, importance: 0.00836
feature nr: 21020, importance: 0.00858
feature nr: 29285, importance: 0.00801
feature nr: 36694, importance: 0.00850
feature nr: 40554, importance: 0.00221
feature nr: 49331, importance: 0.01686
feature nr: 60753, importance: 0.01560
feature nr: 69570, importance: 0.01038
feature nr: 71741, importance: 0.02715
feature nr: 82124, importance: 0.27016
feature nr: 84459, importance: 0.04886
feature nr: 90239, importance: 0.01935
feature nr: 91952, importance: 0.00494
feature nr: 108795, importance: 0.01733
feature nr: 117113, importance: 0.00230
feature nr: 122912, importance: 0.10755
feature nr: 132163, importance: 0.00302
feature nr: 136697, importance: 0.00106
feature nr: 140048, importance: 0.00514
feature nr: 141649, importance: 0.00071
feature nr: 144305, importance: 0.00787
feature nr: 145649, importance: 0.00752
feature nr: 158218, importance: 0.00345
feature nr: 186632, importance: 0.00311
feature nr: 188715, importance: 0.00724
feature nr: 196351, importance: 0.00251
feature nr: 203626, importance: 0.00408
feature nr: 205967, importance: 0.00025
feature nr: 235129, importance: 0.00592
feature nr: 241811, importance: 0.01650
feature nr: 242655, importance: 0.02213
feature nr: 250696, importance: 0.00617
