feature nr: 9, importance: 0.00284
feature nr: 17, importance: 0.01185
feature nr: 34, importance: 0.01590
feature nr: 742, importance: 0.01033
feature nr: 902, importance: 0.03338
feature nr: 1930, importance: 0.02373
feature nr: 2121, importance: 0.01620
feature nr: 4518, importance: 0.00436
feature nr: 5225, importance: 0.00658
feature nr: 8498, importance: 0.01572
feature nr: 19630, importance: 0.01344
feature nr: 22792, importance: 0.00343
feature nr: 55865, importance: 0.26939
feature nr: 57288, importance: 0.00488
feature nr: 72519, importance: 0.01076
feature nr: 77064, importance: 0.00713
feature nr: 91864, importance: 0.00966
feature nr: 105710, importance: 0.00162
feature nr: 114530, importance: 0.07588
feature nr: 121118, importance: 0.00246
feature nr: 123548, importance: 0.02651
feature nr: 133822, importance: 0.05294
feature nr: 151629, importance: 0.00408
feature nr: 181627, importance: 0.06365
feature nr: 183978, importance: 0.08082
feature nr: 185000, importance: 0.05291
feature nr: 186429, importance: 0.08191
feature nr: 192213, importance: 0.00304
feature nr: 213039, importance: 0.03635
feature nr: 213304, importance: 0.01482
feature nr: 215686, importance: 0.02576
feature nr: 216307, importance: 0.01476
feature nr: 250379, importance: 0.00290
