,probe,ensembl_gene_id,gene_name,Normal,BLCA,BRCA,COAD,ESCA,HNSC,KIRC,KIRP,LIHC,LUAD,LUSC,PRAD,THCA,UCEC
0,cg00000029,ENSG00000103479,RBL2,0.29390879550012655,0.15267917677095394,0.18019058439207447,0.17037745632610662,0.2491379314431233,0.30787228307400294,0.561114583632659,0.4423951974013868,0.3430203286575492,0.2881877265682801,0.22764390208664476,0.12243621619488856,0.2502426728071932,0.16508832805712553
1,cg00000289,ENSG00000072110,ACTN1,0.7245389250747845,0.6591469540843646,0.6855623874919728,0.7087242201844385,0.6672774002835553,0.7247875632598804,0.6981697138305042,0.7149845602710071,0.6527437467301471,0.6289221039672322,0.6781609206996765,0.6795694017552064,0.7350800641260922,0.7230229887889345
2,cg13777668,ENSG00000072110,ACTN1,0.6385192691542902,0.6466027910929214,0.7422930869241073,0.3836044379528567,0.4809445225316913,0.5016018474979458,0.49360926888347195,0.3552795965158287,0.327214982691129,0.7102963952172751,0.5715004065029657,0.5471047865081041,0.4874020627656819,0.7603233203821471
3,cg18585512,ENSG00000072110,ACTN1,0.8862347966836377,0.8401229560951793,0.8828338068800528,0.8563612876453983,0.8329578082171443,0.8542144953194273,0.876040607571987,0.8869526226242204,0.8715419020117179,0.8271683377759249,0.8453297483628841,0.8713617232454834,0.8982539375113238,0.8748253993568028
4,cg00001349,ENSG00000143194,MAEL,0.8255918369638315,0.8415746900949315,0.8383102607530675,0.8386015561043524,0.8455693059791446,0.82011285012129,0.8631239740880159,0.9074079832760636,0.8567670917435095,0.8149113207136817,0.7820790916378837,0.8668353095040504,0.8056913601183543,0.8286350177393021
5,cg00005215,ENSG00000166634,SERPINB12,0.8900593934520548,0.7308990991404177,0.6666472139892262,0.506750774966515,0.7664594826853407,0.880592188130872,0.8731695491229042,0.8932132137179247,0.43735995362418983,0.70691785765098,0.8670580164412757,0.4698597241574131,0.9156648432478696,0.5522756851731212
6,cg00006198,ENSG00000169291,SHE,0.8485095097826822,0.7111828735536009,0.8491961317258534,0.6229970275639661,0.7665562388177605,0.8031070622614385,0.8549692311459418,0.8469306114810567,0.8504630480737544,0.773877405385049,0.7754655862462554,0.8311958188785215,0.8872908647942717,0.7083827278667927
7,cg00006198,ENSG00000163239,TDRD10,0.8485095097826822,0.7111828735536009,0.8491961317258534,0.6229970275639661,0.7665562388177605,0.8031070622614385,0.8549692311459418,0.8469306114810567,0.8504630480737544,0.773877405385049,0.7754655862462554,0.8311958188785215,0.8872908647942717,0.7083827278667927
8,cg00007221,ENSG00000142949,PTPRF,0.5052477958287969,0.4065947034538534,0.37044398629120917,0.5524520079482638,0.4890363400694417,0.596550610376573,0.6155503408270527,0.81972789416829,0.4467081713356465,0.6264852980664699,0.47866787806134065,0.3005369269012661,0.5804307816648165,0.38586200883636823
9,cg00008665,ENSG00000144647,POMGNT2,0.5232798801801439,0.439892093035578,0.5110818267478743,0.6068629366535268,0.4804317598071483,0.6095650921574766,0.6174075782879831,0.6488038392774447,0.6606288797514124,0.6148567318000603,0.5597490698543851,0.6866663336953772,0.6196182454808897,0.5252632527217387
