,lncRNA,num_up_regulated,num_down_regulated,Normal_mean,BLCA_mean,BRCA_mean,COAD_mean,ESCA_mean,HNSC_mean,KIRC_mean,KIRP_mean,LIHC_mean,LUAD_mean,LUSC_mean,PRAD_mean,THCA_mean,UCEC_mean,Normal_std,BLCA_std,BRCA_std,COAD_std,ESCA_std,HNSC_std,KIRC_std,KIRP_std,LIHC_std,LUAD_std,LUSC_std,PRAD_std,THCA_std,UCEC_std,fraction_up_regulated,prolifer,invasi,migrat,growth,methylat,metasta,apoptosis,cell cycle arrest,cell cycle,EMT,immun,cell cycle progression,oncogen,tumor suppress,growth arrest,metaboli,autophag,angiogenesis,prognosis
10,ghrlos,0.0,1.0,0.8433117752697671,0.8487037093532107,0.8418707177335433,0.882906655513406,0.8459067064239956,0.8374247086566174,0.9083422086109508,0.8913709287501427,0.8892998438381395,0.8366224539147704,0.8347321901632585,0.8468635152796592,0.9015673146528568,0.8496244047418028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,linc00239,1.0,0.0,0.4197415112716983,0.16928827361723886,0.6403295467006183,0.13347057357425046,0.14921080768309472,0.2142361214561973,0.31141185674297645,0.34513195249374423,0.4340070082439182,0.2465702467243095,0.21887311940832266,0.4564270004320321,0.5249064622576806,0.2925464993776901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,foxe1,0.0,0.0,0.18561518689157366,0.5383988618935691,0.5141977088794386,0.6934981930120233,0.3860061683873918,0.1844811082466411,0.2255709928010201,0.2338697391848384,0.4216294147756184,0.4002369618827605,0.19283427378022666,0.5485373881135714,0.07176072624045979,0.5664573043920856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,linc00968,3.0,4.0,0.42907860281882704,0.15450383268777168,0.2637428747242536,0.2034747532090004,0.2291589886856925,0.236421679169678,0.3729905692898687,0.4701093363251138,0.12679874156323587,0.2964556317736416,0.2477949758050236,0.2691056670647691,0.449423401973867,0.30107971477146833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,6.0,6.0,8.0,8.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,gsec,1.0,0.0,0.12811430641892113,0.06796084821729448,0.07551881463483544,0.2959291918112605,0.12544619278351427,0.0978741617924566,0.09064267123245484,0.09482108922004567,0.068595967003485,0.13090263946296582,0.08191186011788529,0.08528036763567028,0.14554483280761124,0.09567735074080776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
15,nbr2,1.0,3.0,0.6233637301889097,0.4380966275192541,0.5699879662081436,0.5117617157016504,0.3461789865823547,0.4477540529157275,0.6200629683035044,0.6767151461382659,0.5677477154251317,0.5467936145252272,0.4635190123475536,0.5719159905219855,0.6845220625409213,0.34847963572655305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,6.0,5.0,5.0,2.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0
16,linc00526,0.0,1.0,0.03176016174683657,0.09449839299635293,0.0559060900988303,0.044241337424325705,0.0426662894113731,0.05990962923069504,0.02627156126131515,0.026434204618869105,0.030810878160415767,0.057280111251626235,0.02942097451533609,0.02644803410504272,0.0332071522852592,0.3257846496428182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17,emx2os,1.0,0.0,0.07530937975660439,0.059154638514516064,0.1783706962468448,0.1324092320486812,0.1665835921589618,0.118009561111664,0.057727237228366764,0.04816961722382319,0.1369420076299707,0.3130448895687677,0.12716287271020926,0.16185795420626375,0.08788771248060961,0.050562700639765736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,haglr,1.0,2.0,0.2403050567959601,0.5122920326501856,0.3510402917633413,0.2773452519428733,0.4096810383980517,0.4549640021273194,0.2353388434467233,0.20785446721232012,0.1507668113827593,0.4926391626739504,0.4531589968647222,0.5939405244956739,0.21532522841358187,0.0760490275037033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,3.0,3.0,2.0,5.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
19,stard13,0.0,1.0,0.4537610037524169,0.3086976183599912,0.3206549197721249,0.4931391840517954,0.4219098013898335,0.3848400738265303,0.4892143525224471,0.4905325829681065,0.4847997522671197,0.4183652647977833,0.3914707861864553,0.22883572184162404,0.4938718163980521,0.4772533160951776,0.4083601814341994,0.2640374644396459,0.269039251565562,0.4512856032227271,0.3768767369033149,0.33842670291338706,0.4445957222289929,0.4476674675714055,0.43648902621921787,0.3462011938313629,0.34152399742179423,0.18574981211561886,0.4515882528439284,0.4304343104584848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,gata6-as1,0.0,2.0,0.17260901310019672,0.2056620905278478,0.2614002607555517,0.10887037240063144,0.15192546542042482,0.2151459193965264,0.15767831447993666,0.21035683388949206,0.095050984292891,0.2145933345361253,0.20101176207289387,0.2592178505049933,0.2092612357718291,0.17004149812714064,0.1265531983816223,0.1099986977274917,0.14886619959505226,0.06411922413153934,0.06844859762334375,0.09340969181463407,0.11700683756986485,0.18086132065597987,0.05931588101226524,0.10283452848226543,0.10815934765446232,0.19455890691612648,0.18521819773358744,0.10552463367028768,0.0,3.0,4.0,3.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
21,pcat1,19.0,1.0,0.6034605669304814,0.2787110971012194,0.809816459223665,0.4557189658331844,0.2581417212626869,0.22010725321317906,0.72686302771053,0.8065162902786474,0.6678125897277349,0.43573504852973655,0.2356340672936133,0.6252838778708518,0.8457867266079887,0.6112575635362902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,7.0,5.0,6.0,2.0,0.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
